id,asins,brand,primaryCategories,manufacturer,manufacturerNumber,reviews.doRecommend,reviews.id,reviews.numHelpful,reviews.rating,reviews.title,reviews.username
AVqVGZNvQMlgsOJE6eUY,B00ZV9PXP2,Amazon,Electronics,Amazon,B00ZV9PXP2,False,,0,3,Too small,llyyue
AVqVGZNvQMlgsOJE6eUY,B00ZV9PXP2,Amazon,Electronics,Amazon,B00ZV9PXP2,True,,0,5,Great light reader. Easy to use at the beach,Charmi
AVqVGZNvQMlgsOJE6eUY,B00ZV9PXP2,Amazon,Electronics,Amazon,B00ZV9PXP2,True,,0,4,Great for the price,johnnyjojojo
AVqVGZNvQMlgsOJE6eUY,B00ZV9PXP2,Amazon,Electronics,Amazon,B00ZV9PXP2,True,177283626.0,3,5,A Great Buy,Kdperry
AVqVGZNvQMlgsOJE6eUY,B00ZV9PXP2,Amazon,Electronics,Amazon,B00ZV9PXP2,True,,0,5,Solid entry-level Kindle. Great for kids,Johnnyblack
AVqVGZNvQMlgsOJE6eUY,B00ZV9PXP2,Amazon,Electronics,Amazon,B00ZV9PXP2,False,,0,5,Good ebook,rmwarriors
AVqVGZNvQMlgsOJE6eUY,B00ZV9PXP2,Amazon,Electronics,Amazon,B00ZV9PXP2,True,187043823.0,0,5,Light Weight - Makes a world of difference when taking books on the go!,LexieCrews
AVqVGZNvQMlgsOJE6eUY,B00ZV9PXP2,Amazon,Electronics,Amazon,B00ZV9PXP2,False,,0,4,not good quality,merry
AVqVGZNvQMlgsOJE6eUY,B00ZV9PXP2,Amazon,Electronics,Amazon,B00ZV9PXP2,True,,0,5,best ebook,STEF
AVqVGZNvQMlgsOJE6eUY,B00ZV9PXP2,Amazon,Electronics,Amazon,B00ZV9PXP2,True,,0,5,Great Product,AEBY
AVqVGZNvQMlgsOJE6eUY,B00ZV9PXP2,Amazon,Electronics,Amazon,B00ZV9PXP2,True,,3,5,Good price excellent reader,jjhippo
AVqVGZNvQMlgsOJE6eUY,B00ZV9PXP2,Amazon,Electronics,Amazon,B00ZV9PXP2,True,,0,5,feels like a real book,Sean242
AVqVGZNvQMlgsOJE6eUY,B00ZV9PXP2,Amazon,Electronics,Amazon,B00ZV9PXP2,True,,0,5,Great readers,Jackie
AVqVGZNvQMlgsOJE6eUY,B00ZV9PXP2,Amazon,Electronics,Amazon,B00ZV9PXP2,True,,0,5,Just what my grandson wanted,grandma
AVqVGZNvQMlgsOJE6eUY,B00ZV9PXP2,Amazon,Electronics,Amazon,B00ZV9PXP2,True,,0,5,Great for reading on the go,BeeRocker
AVqVGZNvQMlgsOJE6eUY,B00ZV9PXP2,Amazon,Electronics,Amazon,B00ZV9PXP2,True,,0,3,Does its job,Chillypr
AVqVGZNvQMlgsOJE6eUY,B00ZV9PXP2,Amazon,Electronics,Amazon,B00ZV9PXP2,True,,0,5,Great!,John
AVqVGZNvQMlgsOJE6eUY,B00ZV9PXP2,Amazon,Electronics,Amazon,B00ZV9PXP2,True,,0,4,Work,Bill
AVqVGZNvQMlgsOJE6eUY,B00ZV9PXP2,Amazon,Electronics,Amazon,B00ZV9PXP2,True,,0,5,Great product and service,richard
