id,asins,brand,primaryCategories,manufacturer,manufacturerNumber,reviews.doRecommend,reviews.id,reviews.numHelpful,reviews.rating,reviews.username
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,3,Byger yang
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,4,ByMG
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,5,BySharon Lambert
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,5,Bymark sexson
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,5,Bylinda
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,5,ByPainter Marlow
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,5,ByAmazon Customer
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,5,ByLynn Pendegrass
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,3,ByK.R.
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,4,BySilverLane
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,5,ByTXcust
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,3,Byd'Isigny
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,5,ByFabiola Sarabia
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,5,ByDavyo
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,5,ByBrenda jefferson
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,5,ByAmazon Customer
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,1,ByLaura
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,2,ByFlip Flop Life
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,4,ByAdam
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,3,ByAmazon Customer
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,4,Byfredrick m. gjedde
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,5,ByLisa
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,5,ByJessica
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,4,Byskiperbear
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,1,ByDiane ault
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,4,ByAmazon Customer
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,4,ByRoman E Ramirez
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,5,ByJoshua and Nikki
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,5,ByIris Castillo
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,3,Bymerle
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,4,ByAmazon Customer
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,5,ByNiqueFit
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,5,ByDave
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,5,ByBIGGUY
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,4,ByAmazon Customer
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,5,ByRonski
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,5,ByCorey L.
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,3,ByAmazon Customer
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,5,ByTWEagle
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,1,ByKeith
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,5,ByJeff T.
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,5,ByGPN
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,3,ByS. Nash
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,1,ByAlaska Moutian Man
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,5,ByCharlie
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,1,ByMark A. Hougham
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,5,ByTravis C.
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,1,ByAmazon Customer
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,4,Bykaren oakes
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,5,ByShirtGuy
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,5,ByAmazon Customer
AVpgNzjwLJeJML43Kpxn,B00QWO9P0O|B00LH3DMUO,Amazonbasics,Health & Beauty,AmazonBasics,HL-002619,,,,5,ByAG
